State,Category,Total_Sold
AN,FOUR WHEELER (Invalid Carriage),1
AP,FOUR WHEELER (Invalid Carriage),821
AR,FOUR WHEELER (Invalid Carriage),2
AS,FOUR WHEELER (Invalid Carriage),8
BR,FOUR WHEELER (Invalid Carriage),60
CG,FOUR WHEELER (Invalid Carriage),209
CH,FOUR WHEELER (Invalid Carriage),454
DD,FOUR WHEELER (Invalid Carriage),2
DL,FOUR WHEELER (Invalid Carriage),994
GA,FOUR WHEELER (Invalid Carriage),82
GJ,FOUR WHEELER (Invalid Carriage),7431
HP,FOUR WHEELER (Invalid Carriage),66
HR,FOUR WHEELER (Invalid Carriage),769
JH,FOUR WHEELER (Invalid Carriage),51
JK,FOUR WHEELER (Invalid Carriage),18
KA,FOUR WHEELER (Invalid Carriage),2056
KL,FOUR WHEELER (Invalid Carriage),1620
LA,FOUR WHEELER (Invalid Carriage),0
LD,FOUR WHEELER (Invalid Carriage),0
MH,FOUR WHEELER (Invalid Carriage),3524
ML,FOUR WHEELER (Invalid Carriage),8
MN,FOUR WHEELER (Invalid Carriage),2
MP,FOUR WHEELER (Invalid Carriage),33
MZ,FOUR WHEELER (Invalid Carriage),2
NL,FOUR WHEELER (Invalid Carriage),1
OR,FOUR WHEELER (Invalid Carriage),57
PB,FOUR WHEELER (Invalid Carriage),189
PY,FOUR WHEELER (Invalid Carriage),15
RJ,FOUR WHEELER (Invalid Carriage),1032
SK,FOUR WHEELER (Invalid Carriage),1
TN,FOUR WHEELER (Invalid Carriage),2052
TR,FOUR WHEELER (Invalid Carriage),1
UK,FOUR WHEELER (Invalid Carriage),193
UP,FOUR WHEELER (Invalid Carriage),1316
WB,FOUR WHEELER (Invalid Carriage),33
Total,FOUR WHEELER (Invalid Carriage),23103
AN,HEAVY GOODS VEHICLE,1722
AP,HEAVY GOODS VEHICLE,245095
AR,HEAVY GOODS VEHICLE,11595
AS,HEAVY GOODS VEHICLE,94976
BR,HEAVY GOODS VEHICLE,190372
CG,HEAVY GOODS VEHICLE,202917
CH,HEAVY GOODS VEHICLE,1856
DD,HEAVY GOODS VEHICLE,24789
DL,HEAVY GOODS VEHICLE,33596
GA,HEAVY GOODS VEHICLE,18394
GJ,HEAVY GOODS VEHICLE,406621
HP,HEAVY GOODS VEHICLE,75369
HR,HEAVY GOODS VEHICLE,376967
JH,HEAVY GOODS VEHICLE,155483
JK,HEAVY GOODS VEHICLE,53035
KA,HEAVY GOODS VEHICLE,451807
KL,HEAVY GOODS VEHICLE,88770
LA,HEAVY GOODS VEHICLE,2808
LD,HEAVY GOODS VEHICLE,0
MH,HEAVY GOODS VEHICLE,560346
ML,HEAVY GOODS VEHICLE,23475
MN,HEAVY GOODS VEHICLE,7420
MP,HEAVY GOODS VEHICLE,237992
